Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Screen__c,nFORCE__Break_Page_After__c,nFORCE__Break_Page_Before__c,nFORCE__Default_Editable__c,nFORCE__Default_Rendered__c,nFORCE__Disable_Print__c,nFORCE__Display_Order__c,nFORCE__Display_Toggle_Effect__c,nFORCE__Display_Toggle_Header__c,nFORCE__Display_Toggle_Link__c,nFORCE__Headless__c,nFORCE__Inactive__c,nFORCE__Instructions_Text__c,nFORCE__Is_Editable__c,nFORCE__Layout__c,nFORCE__Screen_View__c,nFORCE__Section_Resource__c,nFORCE__Widget__c,nFORCE__lookupKey__c,nFORCE__sObject_Type__c,nPortal__Portal_Header_Text__c,nFORCE__Conditional_Display_Criteria__c,nFORCE__Parent_Screen_Section__c,nPortal__Portal_Subheader_Text__c,nFORCE__Number_of_Columns__c,nFORCE__Are_Columns_Sortable__c,nFORCE__Auto_Save__c,nFORCE__Validation_Service__c,AutorabitExtId__c
"a334T000000PHjVQAW","","Loan Summary Top Bar","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEYvQAO","false","false","false","false","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHjWQAW","","Deal Summary","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXrQAO","false","false","false","false","false","","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","","LLC_BI__Product_Package__c","","","","","","false","false","",""
"a334T000000PHmLQAW","","Counterparty Report","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEYtQAO","false","false","false","true","false","1.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","42025956257063457","Account","","","","","","false","false","",""
"a334T000000PHmMQAW","","Authorized Users","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEYuQAO","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","42531857171907385","LLC_BI__Treasury_Service__c","","","","","","false","false","",""
"a334T000000PHmNQAW","","Analyzed Accounts","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEYuQAO","false","false","false","true","false","1.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","42354782931847432","LLC_BI__Treasury_Service__c","","","","","","false","false","",""
"a334T000000PHmOQAW","","Add to Maintenance Order","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEYuQAO","false","false","false","true","false","2.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","42016220376303344","LLC_BI__Requirement__c","","","","","","false","false","",""
"a334T000000PHmPQAW","","Add Authorized User","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEYuQAO","false","false","false","true","false","3.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","42296446509353878","LLC_BI__Authorized_User__c","","","","","","false","false","",""
"a334T000000PHmQQAW","","Add Analyzed Account","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEYuQAO","false","false","false","true","false","4.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","42033147641414717","LLC_BI__Analyzed_Account__c","","","","","","false","false","",""
"a334T000000PHrIQAW","","UI Configuration Builder","2019-09-09T15:17:11.000Z","0054T0000012R1qQAE","2019-09-09T15:17:11.000Z","0054T0000012R1qQAE","","a344T000000PEYsQAO","false","false","false","true","false","100.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42865600629289231","nFORCE__Group__c","","","","","","false","false","",""
"a334T000000PHtzQAG","","Analyzed Accounts","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXsQAO","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","426034127026778315","LLC_BI__Treasury_Service__c","","","","","2.0","false","false","",""
